effect,group,term,estimate,std.error,p.value,metric,model,n_ts,formula,REML,bobyqa
fixed,NA,(Intercept),2.5304791776728526,0.18838373191066787,0.0486633318156162,CWM_longevity_max_y,,2,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,0.1900781878804336,0.1043197624537698,0.5449041362365633,CWM_longevity_max_y,,2,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.13126401374158317,NA,NA,CWM_longevity_max_y,,2,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,1,NA,NA,CWM_longevity_max_y,,2,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.07137748880090881,NA,NA,CWM_longevity_max_y,,2,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.22789904977212067,NA,NA,CWM_longevity_max_y,,2,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,0.9999999986622476,NA,NA,CWM_longevity_max_y,,2,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.12392429554100272,NA,NA,CWM_longevity_max_y,,2,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.10646517024769486,NA,NA,CWM_longevity_max_y,,2,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),1.1114482745608496,0.07925407125640169,0.004053453153537804,CWM_offspring_size_max_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
